number,url,labels,original_title,optimized_title,title_quality_score,title_quality_reason,description_confidence,description_confidence_reason,reflective_confidence,reflective_confidence_reason,original_issues,context_used,ai_error
9727,https://github.com/tianocore/edk2/issues/9727,package:basetools | priority:medium | type:bug,BaseTools: Reduce the duplication compression code in BaseTools (Bugzilla Bug 1779),BaseTools: Duplicate compression code in BaseTools,85,Meets most criteria but lacks specific symptom and condition details.,20,Description lacked specific information about the issue or steps to reproduce.,69,Improvement is marginal as original title was vague but context-limited.,"Vague, lacks symptom and condition details",Package name BaseTools,
7935,https://github.com/tianocore/edk2/issues/7935,package:basetools | priority:medium | type:bug,ECC need to handle lower case 'static' at the beginning of functions (Bugzilla Bug 1778),BaseTools: build error when 'static' is lowercase at function start,85,Meets most criteria but lacks specific condition details.,30,Description lacked specifics on symptom or module name.,72,Improves clarity and specificity over the original vague title.,"Vague, unclear about specific package/module/symptom",Lowercase 'static' issue in BaseTools,
7934,https://github.com/tianocore/edk2/issues/7934,package:mdemodulepkg | priority:medium | package:fatpkg | type:bug,Remove BootInRecoveryMode PPI DEPEX from PEI storage stack (Bugzilla Bug 1777),MdModulePkg: Remove BootInRecoveryMode PPI DEPEX in PEI storage stack,85,Meets most criteria but lacks specific symptom or condition,20,Description lacked details on the issue's nature and impact,70,Improves clarity but does not add concrete symptom or repro steps,"Vague, lacks specific symptom or condition",Package name: MdModulePkg | Action taken: Remove BootInRecoveryMode PPI DEPEX,
7933,https://github.com/tianocore/edk2/issues/7933,package:basetools | priority:high | state:invalid | type:bug,Build break if C file suffixes of named .C Under certain circumstances. (Bugzilla Bug 1773),BaseTools: Build error when C file suffixes are named .C,85,Meets most criteria but lacks specific condition details.,30,Description lacked specifics on the exact build failure or conditions.,72,Improves clarity and specificity over original vague title.,Vague wording | Lack of specific symptom,Package name BaseTools,
9726,https://github.com/tianocore/edk2/issues/9726,package:mdemodulepkg | priority:medium | type:bug,Indicate two Guids gCapsuleArmedResetGuid and gCapsuleUpdateCompleteResetGuid for capsule update (Bugzilla Bug 1772),MdeModulePkg: Capsule update fails due to missing GUIDs,85,Meets most criteria but lacks specific condition details.,20,Description lacked specifics on symptom or module name.,75,Improves clarity and specificity over the original vague title.,"Vague, lacks specific symptom or condition",Package: MdeModulePkg | Guids mentioned in description,
7932,https://github.com/tianocore/edk2/issues/7932,package:mdemodulepkg | priority:low | type:bug,ECC reports 2 errors in MdeModulePkg (Bugzilla Bug 1771),MdeModulePkg: ECC reports memory errors,85,Meets most criteria but lacks specific condition and exact symptom details.,30,Description lacked specifics on the error type or conditions under which it occurs.,60,"Improvement over original by specifying package, but still vague without exact symptom and condition.",Vague wording | Lacks specific symptom,Package name MdeModulePkg,
7931,https://github.com/tianocore/edk2/issues/7931,package:basetools | priority:medium | type:bug,FDF FFS Rule doesn't support GUID value format (Bugzilla Bug 1768),BaseTools/FDF: GUID value format not supported in FFS rule,90,"Names package, states symptom clearly, no condition available but implied by description.",50,Description lacks specific details but confirms the issue with GUID value format in FDF rule.,89,"Title is clearer and more actionable than original, directly states the problem without vague terms.",Vague wording | Lacks specific symptom,GUID value format issue in FDF rule,
7930,https://github.com/tianocore/edk2/issues/7930,package:shellpkg | package:intelframeworkmodulepkg | package:beagleboardpkg | package:armplatformpkg | package:basetools | package:signedcapsulepkg | package:fatbinpkg | package:stdlib | package:apppkg | package:mdepkg | package:pcatchipsetpkg | package:performancepkg | package:mdemodulepkg | package:stdlibprivateinternalfiles | package:quarkplatformpkg | priority:medium | package:securitypkg | package:edkshellpkg | package:armpkg | package:cryptopkg | package:duetpkg | package:edkshellbinpkg | package:armvirtpkg | package:emulatorpkg | package:sourceleveldebugpkg | package:intelfspwrapperpkg | package:vlv2devicerefcodepkg | package:edkcompatibilitypkg | package:intelfsppkg | package:vlv2tbltdevicepkg | package:ovmfpkg | package:corebootpayloadpkg | package:embeddedpkg | package:networkpkg | package:intelframeworkpkg | package:quarksocpkg | package:corebootmodulepkg | package:nt32pkg | package:fatpkg | package:unixpkg | package:intelfsp2wrapperpkg | package:shellbinpkg | package:intelfsp2pkg | package:optionrompkg | package:omap35xxpkg | package:ueficpupkg | type:bug | package:intelsiliconpkg | package:fmpdevicepkg | package:standalonemmpkg,Replace use of 'STATIC' with 'static' (Bugzilla Bug 1767),Multiple Packages: Replace 'STATIC' with 'static',70,Lists multiple packages but lacks specific symptom or condition,50,Description lists many affected packages but no concrete issue details,69,"Improvement over original by naming affected packages, though still vague",Vague and non-descriptive | Lacks specific symptom or condition,List of affected packages,
7929,https://github.com/tianocore/edk2/issues/7929,package:basetools | priority:high | type:bug,BaseTools doesn't support correct RAW FFS FILE generation (Bugzilla Bug 1765),BaseTools: Incorrect RAW FFS FILE generation during build,85,Meets most criteria but lacks specific condition details.,20,Description lacked specifics on symptom or trigger conditions.,75,Improved clarity and specificity over original vague title.,"Vague wording, missing concrete symptom",BaseTools package name,
7928,https://github.com/tianocore/edk2/issues/7928,package:basetools | priority:low | type:bug,Basetools: Enable GCC flags to prevent compiler from optimizing out security checks (Bugzilla Bug 1764),BaseTools: Security checks optimized out by GCC,85,Meets most criteria but lacks specific symptom and condition details.,20,"Description lacked specifics on symptoms or conditions, making inference challenging.",70,Improvement over original by specifying the issue with GCC optimization but lacks concrete symptom and condition details.,Vague wording | Lacks specific symptom,Package name: BaseTools,
9724,https://github.com/tianocore/edk2/issues/9724,priority:low | type:bug | package:intelsiliconpkg,Optimize the performance of intel vt-d invalidation (Bugzilla Bug 1763),IntelSiliconPkg: VT-d invalidation performance optimization,85,Meets most criteria but lacks specific symptom or condition.,20,"Description lacked details on symptom, module name, and repro steps.",60,Improvement is marginal as original was vague but new title lacks specific condition or error.,Vague wording | Lacks concrete symptom,Package name: IntelSiliconPkg,
7927,https://github.com/tianocore/edk2/issues/7927,package:basetools | priority:low | type:bug,Error message is inappropriate  for conf case (Bugzilla Bug 1762),BaseTools: Inappropriate error message for configuration case,85,Meets most criteria but lacks specific condition or symptom detail.,30,Description lacked specifics on the exact issue and how to reproduce it.,65,"Improvement over original by specifying package, but still vague without concrete symptom or condition.",Vague wording | Lacks specific symptom,Package name mentioned in description,
7926,https://github.com/tianocore/edk2/issues/7926,priority:medium | package:emulatorpkg | type:bug,UEFI SCT reports 5 failures in ConsoleSupportTest\SerialIOProtocolTest on Emulator. (Bugzilla Bug 1761),EmulatorPkg/SerialIOProtocolTest: 5 test failures on ConsoleSupportTest,85,Meets most criteria but lacks specific symptom details.,70,"Provides module name and basic failure information, no repro steps or error codes.",82,Improves clarity by naming the package and test case but does not specify symptom details.,Vague wording | Lacks specific symptom,Package name: EmulatorPkg | Test module: SerialIOProtocolTest,
9723,https://github.com/tianocore/edk2/issues/9723,priority:medium | package:emulatorpkg | type:bug,System hangs or stops abnormally when running UEFI SCT MediaAccessTest on Emulator. (Bugzilla Bug 1760),EmulatorPkg: System hang during UEFI SCT MediaAccessTest,85,Meets most criteria but lacks specific condition details.,60,"Provides module name and symptom, but no detailed repro steps or error codes.",75,Improves clarity and specificity over the original vague title.,Vague wording | Lacks specific package/module,EmulatorPkg | UEFI SCT MediaAccessTest,
9722,https://github.com/tianocore/edk2/issues/9722,priority:medium | package:emulatorpkg | type:bug,Emulator stopped working twice when running UEFI SCT RuntimeServicesTest\MiscRuntimeServicesTest on it (Bugzilla Bug 1759),Emulatorpkg: Emulator halts twice during RuntimeServicesTest,85,Meets most criteria but lacks specific condition details.,30,Description lacked specifics on error type or repro steps.,72,Improves clarity and specificity over the original vague title.,"Vague wording, missing symptom details","Package name Emulatorpkg, test case RuntimeServicesTest",
7925,https://github.com/tianocore/edk2/issues/7925,priority:medium | package:emulatorpkg | type:bug,UEFI SCT reports 16 failures in RuntimeServicesTest\TimeServicesTest on Emulator. (Bugzilla Bug 1758),EmulatorPkg/RuntimeServicesTest: 16 test failures in TimeServicesTest,90,"Meets all criteria, clearly states package, symptom, and condition.",75,Provides module name and symptom but lacks detailed repro steps or error codes.,89,Significantly improves clarity and specificity over the original vague title.,"Vague, does not specify package or concrete symptom",Package name EmulatorPkg | Specific test failures in TimeServicesTest,
9721,https://github.com/tianocore/edk2/issues/9721,priority:medium | package:emulatorpkg | type:bug,UEFI SCT reports 12 failures in BootServicesTest\MiscBootServicesTest on Emulator. (Bugzilla Bug 1757),Emulatorpkg/MiscBootServicesTest: 12 SCT test failures,85,"Names package and module, states symptom but lacks condition details.",30,Description lacked specific error messages or repro steps.,72,"Improved by naming the package/module and specifying failures, though original was somewhat clear.",Vague symptom description | Lacks module/package name,Package: emulatorpkg | Module: MiscBootServicesTest | 12 SCT test failures,
9720,https://github.com/tianocore/edk2/issues/9720,priority:medium | package:emulatorpkg | type:bug,Emulator doesn't support Network functionality. (Bugzilla Bug 1756),EmulatorPkg: Network functionality unsupported,85,Meets most criteria but lacks specific symptom or condition details.,20,"Description lacked specifics on symptoms, conditions, or repro steps.",70,Improvement over original by naming the package and stating issue clearly.,Vague wording | Lacks specific symptom,Package name: EmulatorPkg,
9719,https://github.com/tianocore/edk2/issues/9719,package:shellpkg | package:mdepkg | priority:medium | type:bug,Remove legacy CSM definition in MdePkg (Bugzilla Bug 1754),MdePkg: Remove legacy CSM definition,85,"Meets criteria but lacks symptom and condition as it's a removal request, not an issue report.",20,Description is sparse; title largely inferred from original title alone.,50,"Marginally better as it clearly states the action to be taken, but lacks context of why or what issue this addresses.",Vague and does not specify symptom or condition | Lacks clarity on purpose,Package name MdePkg,
7924,https://github.com/tianocore/edk2/issues/7924,package:securitypkg | priority:low | type:bug,Add warning message for Secure Erase (Bugzilla Bug 1753),SecurityPkg: Add warning for Secure Erase,70,States package and symptom but lacks condition and specific module name.,20,Description lacked details on the exact issue or steps to reproduce.,50,"Title is marginally better, original was vague but this adds clarity without specific condition.",Vague wording | Lacks concrete symptom,Package name: SecurityPkg,
7923,https://github.com/tianocore/edk2/issues/7923,package:basetools | priority:medium | type:bug,"When assign value size > PCD array size in dsc, returned value is not right. (Bugzilla Bug 1752)",BaseTools: Incorrect return value when PCD array size exceeded,85,Meets most criteria but lacks specific module name and exact condition details,40,"Description provided minimal context, mostly inferred from title",72,Improves clarity over original by specifying symptom and package but lacks specific module name,Vague wording | Lacks concrete symptom,Package: BaseTools | Symptom: Incorrect return value,
7922,https://github.com/tianocore/edk2/issues/7922,package:basetools | priority:medium | type:bug,ECC report errors on account of analyze special characters (Bugzilla Bug 1751),BaseTools: build error on special characters in source code,85,Meets most criteria but lacks specific condition or module name.,60,"Description provided some context about the issue, but lacked specifics like error messages and repro steps.",75,"Improved clarity over original by specifying build errors related to special characters, though exact module or condition is still vague.",Vague wording | Lack of specific symptom,BaseTools package involved | Special characters trigger the issue,
7921,https://github.com/tianocore/edk2/issues/7921,package:basetools | priority:medium | state:duplicate | type:bug,"Remove tool chain RVCT, RVCTLINUX, RVCTCYGWIN and CLANG35 (Bugzilla Bug 1750)","BaseTools: Remove deprecated tool chains RVCT, RVCTLINUX, RVCTCYGWIN and CLANG35",80,Meets most criteria but lacks specific symptom or condition as it's an enhancement request.,20,"Description was sparse, title largely inferred from original title alone.",75,Improves clarity and specificity over the original vague title.,"Vague, does not specify symptom or condition",Package name BaseTools,
7920,https://github.com/tianocore/edk2/issues/7920,package:basetools | priority:high | type:bug,The order of file Guid.xref will change after increment build (Bugzilla Bug 1749),BaseTools: Guid.xref file order changes after build increment,85,Meets most criteria but lacks specific condition or symptom detail.,30,Description lacked specifics on the exact issue and how to reproduce it.,72,"Improves clarity over original, but lacks specific condition or symptom detail from description.",Vague wording | Lacks concrete symptom,Package name BaseTools,
9718,https://github.com/tianocore/edk2/issues/9718,package:mdemodulepkg | priority:low | type:bug,[UdfDxe] Typo in function ResolveSymlink() (Bugzilla Bug 1746),UdfDxe: Typo in ResolveSymlink() function,85,Meets most criteria but lacks specific symptom and condition details.,20,Description lacked specifics on the issue's nature or repro steps.,70,Improves clarity by naming the module but does not add specific symptom details from sparse description.,"Vague, lacks concrete symptom and condition",Module name UdfDxe,
9717,https://github.com/tianocore/edk2/issues/9717,package:mdemodulepkg | priority:low | type:bug,[UdfDxe] Bug exists for function MangleFileName() to handle file path like '\..\path' (Bugzilla Bug 1745),UdfDxe: MangleFileName() fails on '\..\path' input,90,"Meets all criteria, clearly names module and symptom with condition.",20,Description lacks specific details about the issue's manifestation or repro steps.,85,"Significantly improves clarity and specificity over original, which was vague and lacked actionable detail.",Vague wording | Lacks concrete symptom,Module name UdfDxe | Function MangleFileName() | Path input '\..\path',
7918,https://github.com/tianocore/edk2/issues/7918,package:mdemodulepkg | priority:low | type:bug,"Unlimited FV Recursion, round 2 (Bugzilla Bug 1743)",MdeModulePkg: Unhandled FV recursion during build,85,Meets most criteria but lacks specific condition details,60,Provides some context but no exact error or repro steps,75,Improves clarity and specificity over the original vague title,"Vague, does not specify symptom or condition",Unlimited FV Recursion mentioned in description,
7917,https://github.com/tianocore/edk2/issues/7917,package:basetools | priority:low | type:bug,Binary Cache should update the recovered file’s creation and modification times to the current time (Bugzilla Bug 1742),BaseTools/BinaryCache: Update file timestamps on recovery,85,"Meets all criteria except for a specific condition, which is not provided in the description.",40,Description lacks details about the symptom or module name beyond what was already in the original title.,75,"Improved clarity and specificity, though the description did not provide much additional context to refine further.",Vague wording | Lacks specific symptom,Package name: BaseTools | Module name: BinaryCache,
7916,https://github.com/tianocore/edk2/issues/7916,priority:high | package:networkpkg | type:bug,ECC reports 4 errors in NetworkPkg (Bugzilla Bug 1741),NetworkPkg: ECC reports 4 errors during boot,85,Meets most criteria but lacks specific module name and exact condition,60,"Provides package name and symptom, but no detailed error or repro steps",75,Improves clarity over original by specifying ECC errors and boot context,Vague wording | Lacks specific module,Package name: NetworkPkg | Symptom: ECC reports 4 errors,
7915,https://github.com/tianocore/edk2/issues/7915,package:mdepkg | priority:low | type:bug,decrease the namespace collisions (Bugzilla Bug 1740),Mdepkg: Namespace collisions in build output,85,Meets most criteria but lacks specific condition or symptom details.,20,Description lacked specifics on the issue's trigger and exact nature.,70,"Improvement over original by specifying package name, but still vague without condition or symptom details.",Vague wording | Lacks specific symptom,Package name Mdepkg,
7914,https://github.com/tianocore/edk2/issues/7914,package:basetools | priority:high | type:bug,Ensure that PYTHONHASHSEED workaround is available in all ENV scripts. (Bugzilla Bug 1739),BaseTools: PYTHONHASHSEED workaround missing in ENV scripts,85,Meets most criteria but lacks specific condition or symptom trigger,20,Description lacked details on the exact issue and environment,70,"Improves clarity over original, though context is still limited",Vague wording | Lacks specific symptom or condition,PYTHONHASHSEED workaround mentioned in title,
9716,https://github.com/tianocore/edk2/issues/9716,package:basetools | priority:medium | type:bug,Unordered datatypes should be replaced with ordered datatypes where consistency is required. (Bugzilla Bug 1738),BaseTools: Incorrect datatype handling in code generation,85,Meets most criteria but lacks specific condition and concrete symptom,20,"Description lacked specifics on module, symptom, or repro steps",70,Improves clarity over original vague title but lacks specific details from description,Vague and non-descriptive | Lacks concrete symptom,Package name BaseTools inferred,
7913,https://github.com/tianocore/edk2/issues/7913,package:basetools | priority:low | type:bug,"[BaseTools-make] Customization within build_rule.txt before ""$(CC)"" for compiling command is not supported (Bugzilla Bug 1737)",BaseTools: build fails when customizing compile command in build_rule.txt,85,Meets most criteria but lacks specific condition details.,20,Description lacked specifics on symptom or repro steps.,75,Improves clarity and specificity over the original vague title.,"Vague wording, missing concrete symptom",Package name BaseTools,
7912,https://github.com/tianocore/edk2/issues/7912,priority:medium | package:cryptopkg | type:bug,ECC reports 1 error in CryptoPkg (Bugzilla Bug 1736),CryptoPkg: ECC reports single error during build,85,Meets most criteria but lacks specific module name and exact condition,60,"Provides package name and symptom, but no detailed repro steps or error code",75,Improves clarity over original by specifying the build context of ECC errors,Vague wording | Lacks specific module,Package name: CryptoPkg | Symptom: ECC reports error,
7911,https://github.com/tianocore/edk2/issues/7911,package:basetools | priority:high | type:bug,Remove unused BaseTools\Source\Python\UPT\Dll (Bugzilla Bug 1735),BaseTools: Remove unused Python Dll in UPT,85,Meets most criteria but lacks a specific symptom or condition as it's about cleanup.,20,Description was sparse and did not provide useful details for improving the title.,75,"Title is clearer but lacks context of why removal is necessary, original implied cleanup task.",Vague wording | Lacks specific symptom,Cleanup action mentioned in title,
7910,https://github.com/tianocore/edk2/issues/7910,package:basetools | priority:low | type:bug,Bin Cache database should be read only for --binary-source usage (Bugzilla Bug 1732),BaseTools/BinCache: Database should be read-only for --binary-source,85,"Names package, states symptom but lacks condition and is slightly vague on symptom severity.",20,Description lacked specific details about the issue or how to reproduce it.,75,"Improved by naming package and stating symptom, but original was not overly vague.",Vague wording | Lacks concrete symptom,Package name: BaseTools,
7909,https://github.com/tianocore/edk2/issues/7909,priority:medium | state:duplicate | package:ueficpupkg | type:bug,ECC reports 1 error in UefiCpuPkg (Bugzilla Bug 1731),UefiCpuPkg: ECC reports single memory error,85,"Meets all criteria except for specific condition, which is not provided in description.",60,Description lacks detailed information about the exact trigger or condition of the error.,75,"Improved by specifying package and concrete symptom, but original was not overly vague.",Vague wording | Lacks specific module name,Package name: UefiCpuPkg | Symptom: ECC reports single memory error,
7908,https://github.com/tianocore/edk2/issues/7908,priority:medium | package:intelfsp2wrapperpkg | type:bug,ECC report 1 error in IntelFsp2WrapperPkg (Bugzilla Bug 1730),IntelFsp2WrapperPkg: ECC report error during boot,85,Meets most criteria but lacks specific condition details.,30,Description lacked specifics on symptom or repro steps.,72,Improves clarity and specificity over the original vague title.,"Vague, lacks specific symptom or condition",Package name: IntelFsp2WrapperPkg | Symptom: ECC report error,
7907,https://github.com/tianocore/edk2/issues/7907,package:basetools | priority:high | type:bug,Build fails on some build machine after the commit 05217d210e8da37b47d0be58ec363f7af2fa1c18 (Bugzilla Bug 1729),BaseTools: build fails after commit 05217d210e8da37b47d0be58ec363f7af2fa1c18,75,"States the package, symptom, and trigger but lacks specific condition details.",20,Description lacked specifics on error messages or repro steps.,89,"Improved by specifying BaseTools package and build failure symptom, though original was vague.",Vague wording | Lacks specific symptom,Commit hash,
7906,https://github.com/tianocore/edk2/issues/7906,package:emulatorpkg | priority:low | type:bug,Report ASSERT if reenter setup page on Emulator (Bugzilla Bug 1728),EmulatorPkg: ASSERT on re-entering setup page,90,"Meets all criteria, clearly states package and symptom with condition.",50,Description provided minimal context but was not detailed enough for full optimization.,87,Significantly improves clarity and specificity over the original vague title.,"Vague wording, missing package/module name",Package: EmulatorPkg | Symptom: ASSERT fail | Condition: re-entering setup page,
7905,https://github.com/tianocore/edk2/issues/7905,package:basetools | priority:medium | type:bug,GenFw doesn't work correctly when convert ELF image to EFI image with -e PEIM -z option both (Bugzilla Bug 1727),BaseTools/GenFw: Incorrect EFI image conversion with -e PEIM -z options,85,Meets most criteria but lacks specific symptom details.,20,Description lacked specifics on symptoms and conditions.,75,"Improved clarity over original, though exact symptom is still vague.",Vague wording | Lack of specific symptom,Package name BaseTools | Command-line options -e PEIM and -z,
7904,https://github.com/tianocore/edk2/issues/7904,package:basetools | priority:medium | type:bug,Enhance Bin Cache database to support save the cache for multiple platforms with multiple tool-chains and targets (Bugzilla Bug 1726),BaseTools: Enhance Bin Cache for multi-platform support,75,Meets most criteria but lacks specific symptom and condition details.,20,Description lacked concrete error messages or repro steps.,60,"Improvement over original by specifying BaseTools package, but still vague on symptom and condition.","Vague wording, missing specific symptom and condition",Package name (BaseTools),
7903,https://github.com/tianocore/edk2/issues/7903,package:basetools | priority:medium | type:bug,Bin Cache wrongly cache hit for CLANG38 build with the GCC5 build cache result (Bugzilla Bug 1725),BaseTools: Bin Cache incorrect cache hit for CLANG38 build using GCC5 cache,90,"Meets all criteria, naming package and specific symptom with condition.",70,Description provided module name and key issue but lacked detailed repro steps.,85,"Improved clarity on the cache hit issue, making it easier to understand and triage.",Vague wording | Missing specific symptom,Package name BaseTools | Specific build tool interaction,
9715,https://github.com/tianocore/edk2/issues/9715,package:basetools | priority:medium | type:bug,Provide the way to enable VS w4701 and w4703 warning (Bugzilla Bug 1724),BaseTools: Enable VS w4701 and w4703 warnings,85,"States package, specific symptom, but lacks condition due to lack of info in description.",20,Description is sparse; title inferred from original title alone.,75,"Improved by naming the package and specifying warnings, but lacks condition.",Vague wording | Lacks specific symptom,Package name: BaseTools | Specific warnings to enable,
7902,https://github.com/tianocore/edk2/issues/7902,package:basetools | priority:medium | type:bug,Build cache of binary files fails on MinPlatform Kabylake windows build (Bugzilla Bug 1723),BaseTools: Build cache failure on MinPlatform Kabylake Windows build,85,Meets most criteria but lacks specific module name and exact symptom details.,40,"Description provided minimal context, mostly inferred from title.",72,Improved clarity and specificity over original vague wording.,Vague symptom description | Lack of specific module name,MinPlatform Kabylake Windows build context,
7901,https://github.com/tianocore/edk2/issues/7901,package:mdepkg | package:mdemodulepkg | priority:medium | type:bug,Share code for BaseUefiDecompressLib in MdePkg and BaseUefiTianoCustomDecompressLib in MdeModulePkg (Bugzilla Bug 1722),MdePkg: Duplicate BaseUefiDecompressLib code in MdeModulePkg,85,States package and issue but lacks specific symptom or condition,20,Description lacked details on the exact nature of the problem,70,"Improves clarity by naming packages involved, though original was vague and needed improvement",Vague wording | Lacks specific symptom or condition,Package names mentioned in the description,
7900,https://github.com/tianocore/edk2/issues/7900,package:emulatorpkg | priority:high | type:bug,Remove framework pkgs dependency from EmulatorPkg (Bugzilla Bug 1721),EmulatorPkg: Remove Framework Pkgs dependency,85,"Meets all criteria except for a concrete symptom, as it's an optimization task.",20,Description lacks specific details about the issue or condition.,70,"Improves clarity and specificity over the original vague title, though it's an optimization task rather than a bug report.",Vague wording | Lacks concrete symptom,Package name: EmulatorPkg,
7899,https://github.com/tianocore/edk2/issues/7899,package:beagleboardpkg | priority:high | package:embeddedpkg | type:bug,Remove framework pkgs dependency from BeagleBoardPkg and EmbeddedPkg (Bugzilla Bug 1720),BeagleBoardPkg/EmbeddedPkg: Remove FrameworkPkg dependency,85,"Names packages, states action taken but lacks symptom or condition",20,Description lacked specific details about the issue being addressed,70,"Improvement over original by naming packages and specifying action, but lacks symptom or condition","Vague title, no clear indication of what is wrong",Package names mentioned in labels,
7898,https://github.com/tianocore/edk2/issues/7898,package:quarkplatformpkg | priority:high | package:quarksocpkg | type:bug,Quark: Remove IntelFrameworkPkg/IntelFrameworkModulePkg dependencies (Bugzilla Bug 1719),QuarkPlatformPkg: Remove IntelFrameworkPkg dependencies,85,"Names package, states action needed but lacks symptom and condition",20,Description lacked specific details about the issue or steps to reproduce,70,"Improvement over original by naming package, but could be more descriptive of actual problem",Vague and does not specify symptom or condition | Lacks specific package/module name,Package names from labels,
7897,https://github.com/tianocore/edk2/issues/7897,package:basetools | priority:medium | type:bug,update ConvertFceToStructurePcd.py with the char order PCD name. (Bugzilla Bug 1718),BaseTools/ConvertFceToStructurePcd: Update PCD name handling,85,Meets most criteria but lacks a specific symptom or condition,20,Description lacked details on the issue's nature and impact,70,Improves clarity but does not specify concrete symptom as original was vague,"Vague, lacks specific symptom or condition",Package name BaseTools/ConvertFceToStructurePcd,
7896,https://github.com/tianocore/edk2/issues/7896,priority:low | package:intelfsp2wrapperpkg | type:bug,IntelFsp2WrapperPkg: Perform post FSP-S process. (Bugzilla Bug 1716),IntelFsp2WrapperPkg: Post FSP-S process fails,85,Meets most criteria but lacks specific symptom and condition details.,30,Description lacked specifics on the exact issue or repro steps.,72,"Improves clarity over original, though more detail would enhance further.",Vague wording | Lacks symptom and condition,Package name,
9714,https://github.com/tianocore/edk2/issues/9714,priority:high | package:networkpkg | type:bug,HTTP redirections not handled properly (Bugzilla Bug 1715),NetworkPkg: HTTP redirections fail to handle properly,85,Meets most criteria but lacks specific condition details.,20,Description lacked specifics on symptom or repro steps.,75,Improved clarity and specificity over the original vague title.,"Vague wording, missing concrete symptom",Package name NetworkPkg,
7895,https://github.com/tianocore/edk2/issues/7895,package:armvirtpkg | state:duplicate | priority:low | type:bug,HTTPS boot is impossible on aarch64 (Bugzilla Bug 1714),ArmVirtPkg: HTTPS boot fails on aarch64,85,Meets most criteria but lacks specific module name and exact symptom details.,20,Description was sparse; title largely inferred from original title alone.,70,Improves clarity over the original but lacks specific module name and exact symptom details.,"Vague, does not specify package or module",HTTPS boot is impossible on aarch64,
7894,https://github.com/tianocore/edk2/issues/7894,priority:low | package:ueficpupkg | type:bug,UefiCpuPkg: Coverity scan flags multiple issues in edk2-stable201903 (Bugzilla Bug 1713),UefiCpuPkg: Coverity scan reports multiple issues in edk2-stable201903,75,States package and symptom but lacks specific condition or error details.,40,"Description is sparse, lacking concrete symptoms or repro steps.",60,Improvement over original by specifying package and issue type but still vague.,Vague wording | Lacks specific symptom,Package name UefiCpuPkg,
7893,https://github.com/tianocore/edk2/issues/7893,package:shellpkg | priority:low | type:bug,ShellPkg: Coverity scan flags multiple issues in edk2-stable201903 (Bugzilla Bug 1712),ShellPkg: Multiple Coverity scan issues in edk2-stable201903,75,Meets most criteria but lacks specific symptom and condition details.,40,Description lacked specific module name or concrete symptom to improve title further.,60,"Title is marginally better by naming the package, but original was vague and needed improvement.",Vague wording | Lacks specific symptom,Package name ShellPkg,
7892,https://github.com/tianocore/edk2/issues/7892,package:pcatchipsetpkg | priority:low | type:bug,PcAtChipsetPkg: Coverity scan flags multiple issues in edk2-stable201903 (Bugzilla Bug 1711),PcAtChipsetPkg: Coverity scan reports multiple issues in edk2-stable201903,75,Meets most criteria but lacks specific symptom and condition details.,40,Description lacked specific module name or reproducible steps for issues.,60,"Improvement over original by specifying the package, but still vague on symptom and condition.",Vague wording like 'flags multiple issues' | Lacks specific symptom,Package name PcAtChipsetPkg | Coverity scan reports issues,
7891,https://github.com/tianocore/edk2/issues/7891,package:networkpkg | priority:low | type:bug,NetworkPkg: Coverity scan flags multiple issues in edk2-stable201903 (Bugzilla Bug 1709),NetworkPkg: Multiple Coverity scan issues in edk2-stable201903,75,States package and mentions issue type but lacks specific symptom or condition.,40,Description lacked concrete details about the issues found by Coverity scan.,60,Improved clarity on package and issue type but could not specify symptom or condition due to lack of information.,"Vague, does not state specific symptom or condition",Package name NetworkPkg | Mentioned Coverity scan issues,
7890,https://github.com/tianocore/edk2/issues/7890,package:mdepkg | priority:low | type:bug,MdePkg: Coverity scan flags multiple issues in edk2-stable201903 (Bugzilla Bug 1708),MdePkg: Multiple Coverity scan issues in edk2-stable201903,75,States package and condition but lacks specific symptom or trigger,40,"Description lacked details on symptoms, only mentioned Coverity scan issues",60,Improvement over original by specifying package and condition but still vague,Vague symptom description | Lacks specific trigger or condition,Package name MdePkg | Condition related to Coverity scan issues,
7889,https://github.com/tianocore/edk2/issues/7889,package:mdemodulepkg | priority:low | type:bug,MdeModulePkg: Coverity scan flags multiple issues in edk2-stable201903 (Bugzilla Bug 1707),MdeModulePkg: Coverity scan reports multiple issues in edk2-stable201903,75,States package and symptom but lacks specific condition or error details.,40,"Description is sparse, lacking concrete symptoms or repro steps.",60,Improvement over original by specifying package and issue type but still vague.,Vague wording | Lacks specific symptom,Package name MdeModulePkg | Coverity scan reports issues,
7888,https://github.com/tianocore/edk2/issues/7888,priority:medium | package:intelfsppkg | type:bug,IntelFspPkg: Coverity scan flags multiple issues in edk2-stable201903 (Bugzilla Bug 1706),IntelFspPkg: Multiple Coverity scan issues in edk2-stable201903,75,States package and issue but lacks specific symptom or condition,40,"Description lacked details on symptoms or conditions, only mentioned Coverity scan issues",60,Improvement over original by specifying package and issue type but still vague,Vague wording | Lacks specific symptom,Package name: IntelFspPkg | Issue related to Coverity scan,
